GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Harefkator,377.6431325,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2020,33.98,40.05,20.13,32.12,126.28
Village Council,Kambukcherra,376.3477893,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2020,41.59,45.97,24.1,57.83,169.49
Village Council,Arunjoy,1665.226737,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2020,35.47,47.69,92.55,27.44,203.15
Village Council,South Gayamani,563.5030005,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2020,18.93,25.54,29.82,24.59,98.88
Village Council,Kwswrang,406.2570202,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2020,26.76,36.97,36.58,40.24,140.55
Village Council,North Gayamani,358.9455454,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2020,18.61,25.51,20.3,24.15,88.57
Village Council,Krishna Debbarma,392.6675964,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2020,3.33,6.96,17.96,2.7,30.95
,Bairagi Para,459.1062562,Unakoti,Kumarghat,Machmara,Krishnatilla,,2020,42.55,69.3,33.73,54.29,199.87
Village Council,Umanjoy Para,1324.372315,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2020,140.5,215.03,89.43,202.89,647.85
Village Council,B.C. Para,1039.780901,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2020,88.5,116.17,75.53,111.34,391.54
Village Council,Dhaniram Debbarma,505.0670984,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2020,18.22,24.34,26.75,20.79,90.1
Gram Panchayet,Upendra,1302.626125,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2020,42.82,39.47,65.35,21.94,169.58
Village Council,Bhupendra Debbarma,921.4659642,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2020,6.58,13.19,54.64,7.63,82.04
Village Council,Samung Kaham Bodal,155.7792157,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2020,4.93,6.09,8.98,2.46,22.46
Village Council,Ganthalwng,121.7226639,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2020,7.07,9.9,7.88,7.12,31.97
Village Council,Pirkha,443.7869472,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2020,34.05,43.88,34.95,41.51,154.39
Village Council,Tentuikhar,330.6425565,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2020,22.33,28.57,24.06,24.03,98.99
Village Council,Thancha,1315.439899,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2020,208.47,147.23,55.55,250.21,661.46
Village Council,Mathura Para,1136.29865,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2020,65.23,101.59,97.05,115.9,379.77
Village Council,Hakwithang,576.5839843,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2020,30.8,39.93,35.07,32.77,138.57
Village Council,Masrai Para,372.2790162,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2020,19.88,28.36,27.54,18.93,94.71
Village Council,Dhananjoy Para,247.5145911,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,10.16,13.09,18.22,14.12,55.59
Village Council,Panbagan,1459.950568,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2020,122.06,195.41,119.22,191.54,628.23
Village Council,Dalam Para,376.1284422,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2020,38.23,54.82,29.06,45.18,167.29
Village Council,Khabaksa,939.0123611,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2020,241,150.63,21.39,339.7,752.72
Village Council,Sanduk Hamkrai,1057.843128,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2020,12.49,20.3,61.86,9.58,104.23
Village Council,Bolong Swnamnai,757.227566,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2020,140.27,94.2,28.25,188.53,451.25
Village Council,Yapribaksa,1663.53672,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2020,81.84,72.64,88.63,53.36,296.47
Village Council,Salkwtal,349.9848214,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,8.63,12.33,22.62,7.52,51.1
Village Council,Dangarai Para,492.3056988,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2020,33.12,57.54,35.61,56.3,182.57
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,32,47.14,72.54,43.86,195.54
Village Council,G.C. Para,261.1943691,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,25.95,31.93,15.23,30.26,103.37
Village Council,Bagabil,596.2403052,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2020,31.42,44.44,44.28,35.87,156.01
Village Council,Lamphunuknai,320.5741899,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2020,24.02,17.05,19.49,9.53,70.09
Village Council,Purba Simna,570.2461875,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,28.62,32.4,35.14,28.2,124.36
Village Council,Sakya Adam,635.1500827,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,22.66,33.67,58.66,31.78,146.77
Village Council,Singharam Para,472.2179033,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,17.06,19.71,36.39,24.48,97.64
Village Council,Maharaja Bir Bikram,301.4093377,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2020,39.71,29.8,13.84,41.81,125.16
Village Council,Rosomala Debbarma,1151.072756,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2020,303.35,122.02,80.1,337.48,842.95
Village Council,Ramdula,927.1329697,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2020,28.79,50.26,47.19,44.37,170.61
Village Council,Chandrakha,700.4215163,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,87.23,95.59,52.94,96.47,332.23
Village Council,Rangchak Balong,1303.400489,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2020,111.46,133.23,98.31,163.05,506.05
Village Council,Chong Chong,312.830333,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2020,20.77,33.31,22.56,31.12,107.76
Village Council,Sadhu Chandra Para,1576.611322,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,223.46,222.26,114.78,251.23,811.73
Village Council,Bidyabil,724.5156337,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2020,30.95,26.83,41.42,18.01,117.21
Village Council,Agarchandra Debbarma,921.8051355,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2020,36.28,22.7,54.13,8.4,121.51
Village Council,Bhudha Valley,926.3796735,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,102.46,137.25,64.54,109.12,413.37
Village Council,Kamalapur,527.2827228,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2020,13.56,17.71,36.52,15.28,83.07
Village Council,Egattor,359.8117979,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2020,11.87,16.59,27.97,16.02,72.45
Village Council,Udandi,683.2902425,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2020,13.43,19.78,52.32,16.22,101.75
Gram Panchayet,Sabujbanani,2352.479441,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2020,50,77.05,207.87,71.72,406.64
Village Council,Baghaicherra,162.0663215,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2020,7.2,12.04,11.77,12.19,43.2
Village Council,Greengold,323.9116783,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,20.33,33.38,24.67,35.56,113.94
Village Council,Banabithi,415.1247836,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2020,27,43.28,28.87,33.68,132.83
Village Council,Khakchang,938.178997,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2020,58.64,56.94,92.37,62.71,270.66
Village Council,Ujan Baghaicherra,513.028386,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2020,17.76,31.02,40.17,21.82,110.77
Village Council,Sonarampara,368.8073558,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2020,14.07,22.44,29.29,20.48,86.28
Village Council,Kelthang Twisa,574.1414759,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2020,32.38,33.93,56.37,35.07,157.75
Gram Panchayet,Banasree,718.5559532,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2020,20.51,24.23,35.54,14.75,95.03
Village Council,Banaraj,850.9225082,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,74.9,97.1,77.94,99.76,349.7
Village Council,Sundarvan,668.2961625,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,56.77,74.43,57.56,78.97,267.73
Village Council,Gobindabari,1253.152292,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2020,34,51.05,89.87,41.84,216.76
Village Council,Judamonipara,1356.324446,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2020,153.79,112.31,116.35,139.76,522.21
Village Council,Bru-Kami,333.9911314,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2020,48.71,57.51,24.46,55.04,185.72
Village Council,Greenland,596.3811035,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2020,94.93,90.51,43.49,93.27,322.2
Village Council,Rachiline,713.2991011,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2020,32.41,32.08,68.41,27.94,160.84
Gram Panchayet,Kalagang,261.3701906,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2020,4.27,4.7,18.7,2.49,30.16
Village Council,Mundaline,822.7660942,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2020,17.07,29.37,75.96,20.47,142.87
Village Council,Phaiko,429.562075,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2020,42.83,45.66,27.31,48.46,164.26
Village Council,Seba Ch. Para,1317.221818,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2020,38.27,70.24,100.91,63,272.42
Village Council,Tailenbari,600.3476521,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2020,89.04,107.45,37.69,110.43,344.61
Gram Panchayet,Moracherra,1034.883999,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2020,100.77,122.08,83.44,123.26,429.55
NP,C.H Para JFMC,816.7935103,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2020,8.54,10.97,40.41,5.9,65.82
Village Council,Seisimdung,651.3098702,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2020,86.35,90.88,40.59,85.24,303.06
Gram Panchayet,Buthuhill,1078.554632,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2020,57.79,81.56,66.26,82,287.61
Gram Panchayet,West Bilthai,353.4600865,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2020,4.48,8.84,23.75,5.74,42.81
Village Council,Saitha,609.8020997,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2020,73.81,69.39,42.73,70.77,256.7
Gram Panchayet,Shyamprasad Mukherjee,516.9304468,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2020,3.9,7.92,22.88,5.11,39.81
Gram Panchayet,Puspamanipara,615.2021462,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2020,7.96,9.38,32.24,5.67,55.25
Gram Panchayet,Kami Humkarai,490.4343731,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2020,31.23,52.84,44.75,50.41,179.23
Village Council,Shivbari,982.8572212,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2020,124.59,182.76,62.27,161.78,531.4
Gram Panchayet,Phaikakham,516.6313242,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2020,56.85,80.93,36.96,64.32,239.06
Village Council,Mannei,984.5014486,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2020,99.85,113.35,78.54,101.75,393.49
Village Council,Reang Para,299.7080306,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,12.94,26.21,26.32,20.95,86.42
Village Council,Eden Rahuan,440.0368578,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2020,39.29,42.08,37.7,42.67,161.74
Gram Panchayet,Lumbockcherra,311.966249,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2020,25.98,32.19,20.29,40.08,118.54
Village Council,Balidhum,472.6373433,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,71.82,88.32,33.71,65.45,259.3
Village Council,Tivalian,421.4766065,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2020,34.05,43.98,32.63,42.49,153.15
Village Council,Bireshpara,463.3139332,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,23.89,47,40.06,40.21,151.16
Gram Panchayet,Parasen,574.8812761,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2020,18.54,30.38,30.31,30.37,109.6
Village Council,Baithangbari,639.1048078,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,55.75,64.06,58.57,56.74,235.12
Gram Panchayet,Balicherra,865.1212705,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2020,37.01,61.56,47.38,62.05,208
Village Council,Nabajiban,959.0200933,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2020,45.42,66.35,89.39,74.92,276.08
Gram Panchayet,Banaphul,557.6198812,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2020,6.21,10.43,25.11,8.62,50.37
Gram Panchayet,Alochaya,420.2280337,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2020,9.46,10.9,18.04,9.73,48.13
Village Council,Pathaliaghat,389.3197494,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2020,1.19,3.04,15.6,0.83,20.66
Village Council,Chelakappa,732.9412968,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2020,34.82,60.77,47.2,64.18,206.97
Village Council,Kaptali,944.2200809,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2020,87.37,155.58,59.79,181.77,484.51
Village Council,Pothachari,468.6693646,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2020,11.1,24.1,32.27,19.62,87.09
Village Council,Deshram khamar Para,357.2187539,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2020,37.78,58.75,20.01,62.43,178.97
Village Council,Nabachandra Para,879.662804,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2020,64.65,119.16,60.71,124.84,369.36
Village Council,Annabandhu Para,972.73778,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2020,50.06,93.24,63.84,87.3,294.44
Village Council,New Gunjalima,870.6227797,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2020,58.29,112.84,62.95,120.6,354.68
Village Council,Meghabarna Para,775.5240815,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2020,57.94,100.16,61.57,111.04,330.71
Village Council,Hazachari,322.0787445,Gomati,Karbook,Silachari,Suknachari,Hajachari,2020,38.78,44.99,19.35,61.13,164.25
Village Council,Larong,1085.773057,Gomati,Karbook,Silachari,Suknachari,Hajachari,2020,40.37,63.8,53.15,63.83,221.15
Village Council,Silaguha,579.5011521,Gomati,Karbook,Silachari,Silachari,Silachari,2020,31.41,40.77,28.2,36.29,136.67
Village Council,Barbil,565.7402645,Gomati,Karbook,Silachari,Ailmara,Barabil,2020,56.91,79.17,32.33,80.67,249.08
Village Council,Wasna,634.2356789,Gomati,Karbook,Silachari,Ailmara,Barabil,2020,3.38,4.76,24,2.55,34.69
Village Council,Aloran,399.4390564,Gomati,Karbook,Silachari,Ailmara,Ailmara,2020,29.6,45.7,28.52,43.76,147.58
Village Council,Chakma Augmuli,472.847395,Gomati,Karbook,Silachari,Ailmara,Ailmara,2020,2.28,3.42,16.55,1.87,24.12
Village Council,Patichari,658.2453391,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2020,24.02,32.13,33.92,27.8,117.87
Village Council,Bolong Naithok,1229.445988,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2020,50.82,54.97,73.04,59.96,238.79
Village Council,Nabajagaran,404.626922,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2020,4.29,7.1,31.35,3.74,46.48
Village Council,Pilonjoy Para,995.8588576,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2020,11.34,19.26,79.21,13.33,123.14
Village Council,Khumpui,669.0711878,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2020,63.29,59.56,46.93,74.28,244.06
Village Council,Debi chari,1005.52202,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2020,52.65,78.08,61.13,89.02,280.88
Village Council,Jangidas Para,838.188825,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2020,12.28,18.38,72.39,16.92,119.97
Village Council,Durparai Para,680.3709562,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2020,43.72,34.58,44.06,33.26,155.62
Village Council,Yaprikwtal,1241.599394,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2020,198.6,145.75,61.98,201.78,608.11
Village Council,Twibaglai,1567.121889,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2020,199.24,253.89,100.47,277.05,830.65
Village Council,Sabuj banani,364.7942988,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2020,31.97,22.76,24.58,22.15,101.46
Village Council,Jugendra Para,1243.782129,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2020,32.09,53.91,91.99,50.18,228.17
Village Council,Hamkrai,781.1554902,Gomati,Karbook,Karbook,Lowgang,Lowgang,2020,101.34,79.2,44.28,105.26,330.08
Village Council,Satarai Uchoipara,264.7948033,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2020,37.35,24.22,14.07,31.45,107.09
Village Council,Mandirghat Para,449.7386832,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2020,40.56,58.71,28.22,50.94,178.43
Village Council,Rasnadhan Para,713.8966193,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2020,109.21,136.52,44.26,98.03,388.02
Village Council,Santipara,640.0407275,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2020,19.15,27.95,45.55,34.18,126.83
,Baiddya Charri,436.9073283,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2020,19.01,29.79,29.77,30.58,109.15
Village Council,Aaranga,796.8264434,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2020,95.76,127.39,54.44,117.3,394.89
Village Council,Swapner Sabuj,750.5286215,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2020,20.09,18.28,37.18,13.86,89.41
Village Council,Labarai Para,1034.006519,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2020,75.12,45.18,52.08,37.78,210.16
Village Council,Raishyabari Nokthai,251.9298461,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2020,3.14,3.73,13.4,2.55,22.82
Village Council,Swam Twisa,692.7116648,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2020,97.2,125.48,34.32,109.24,366.24
Village Council,Purba Potacherra,622.1716876,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2020,29.01,36.55,36.9,48.91,151.37
Village Council,Bhomracherra,948.2955481,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2020,74.42,80.41,48.46,80.99,284.28
Village Council,Khasmai,790.3493358,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2020,105.36,148.8,42.42,127.03,423.61
Village Council,Indrakishore,495.2961241,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,2020,5.89,9.59,31.78,7.51,54.77
Village Council,Chaplling Cherra,614.9197446,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2020,55.21,85.9,35.89,103.65,280.65
Village Council,Khedarnal,929.8650588,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,2020,138.45,84.91,48.61,106.94,378.91
Village Council,Madhanjoy,345.1751002,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2020,25.22,42.97,15.35,49.39,132.93
Village Council,Khapang Bodol,368.6529929,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,2020,59.03,55.14,25.54,63.66,203.37
Village Council,Paschim Potacherra,1426.006414,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,2020,8,10.16,22.47,6.94,47.57
Village Council,Purba Duluma,1590.261184,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,2020,198.79,127.19,81.5,151.28,558.76
Village Council,Lebacharamukh,1732.478619,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,2020,431.05,358.53,60.6,406.2,1256.38
Village Council,Banbihar EDC,264.4425715,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2020,5.56,7.12,7.98,6.28,26.94
Gram Panchayet,Khakchang,805.0351945,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,2020,84.39,49.71,42.47,43,219.57
Village Council,Khetradhan Rouwaja Para,2219.57594,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2020,36.15,51.41,74.21,48.22,209.99
Village Council,Chanduk Twisa,465.5705511,Gomati,Amarpur,Amarpur,Dalak,Dalak,2020,25.18,15.86,22.4,14.14,77.58
Village Council,South Narikel Kunja,940.5449374,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2020,27.37,31.09,34.69,23.89,117.04
Village Council,Chandidas,792.8236247,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,2020,35.38,44.4,47.44,49.11,176.33
Village Council,Sarbajoy Para,2683.298225,Gomati,Amarpur,Amarpur,Dalak,Paharpur,2020,562.19,369.89,104.9,537.14,1574.12
Village Council,Tawbera,757.5833532,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,2020,91.53,56.56,42.15,39.42,229.66
Village Council,North Narikel Kunja,766.1441634,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2020,22.57,32.06,48.37,31.98,134.98
Gram Panchayet,Tausiha Moin RF,516.1260821,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,2020,57.45,44.72,27.94,49.19,179.3
Village Council,Bowalkhali,3428.008175,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,2020,392.69,416.22,243.72,467.21,1519.84
Gram Panchayet,Khabaha,1060.718665,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,2020,53.06,37.75,46.88,30.72,168.41
Village Council,Thakurcherra,1290.208717,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2020,46.18,71.28,76.02,77.88,271.36
Village Council,Jharikusum,390.197645,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2020,10.6,23.04,28.97,20.87,83.48
Village Council,Samal Twisa,3075.034924,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,2020,441.87,435.14,178.15,478.75,1533.91
Gram Panchayet,Newlife,404.4535885,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,2020,71.46,53.87,19.73,74.73,219.79
Village Council,Tuichakma,1369.395877,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2020,68.73,115.85,101.86,134.79,421.23
Village Council,Sangranma EDC,564.9761988,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2020,19.45,33.12,38.25,30.36,121.18
Village Council,Beledi EDC,1637.867545,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2020,24.43,36.2,44.96,36.94,142.53
Village Council,Kamalai,446.579248,Gomati,Amarpur,Ampi,Chechua,Lalgiri,2020,13.46,18.31,31.17,13.39,76.33
Village Council,Bankarai Para,1537.917564,Gomati,Amarpur,Amarpur,Bampur,Gungia,2020,125.85,173.62,118.28,147.03,564.78
Village Council,Sukmohan JFMC (e Beat),1533.315583,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,2020,172.88,135.52,95.01,177.08,580.49
Village Council,Uttar Thakurcherra,784.7937386,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Pancharatan,2020,28.4,47.55,56.49,52.03,184.47
Village Council,Ranipukur EDC,1044.586608,Dhalai,Gandacherra,Gonda Twisa,Rani Pukur,Ranir Pukur,2020,34.62,50.35,71.72,49.92,206.61
Gram Panchayet,Puskini,1252.608926,Gomati,Amarpur,Killa,Uttar Baramura,Bampur,2020,86.98,77.09,54.94,91.31,310.32
Village Council,Chhankhola,981.4272723,Gomati,Udaipur,Killa,Uttar Baramura,South Brajendra Nagar,2020,60.02,47.39,64.52,52.62,224.55
Village Council,Ramnagar EDC,1100.938263,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2020,41.27,54.22,60.21,61.44,217.14
Village Council,Omlakbari,569.0416947,Gomati,Udaipur,Killa,Nitya Bazar,Noabari,2020,31.4,22.94,31.99,22.44,108.77
Village Council,Biswaram Para EDC,159.8191585,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2020,12.93,18.89,9.01,28.96,69.79
Village Council,Nagarai Bangsi,735.0138977,Gomati,Amarpur,Ampi,Chechua,South Sangang,2020,88.17,83.25,28.59,150.15,350.16
Village Council,Mach kumir EDC,653.5669865,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2020,12.3,10.36,29.1,8.4,60.16
Village Council,Kalajhari,2429.890474,Gomati,Amarpur,Amarpur,Kalajhari,Gungia,2020,255.17,396.23,184.7,333.49,1169.59
Village Council,Hatimatha,281.115423,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Tuichakma,2020,13.41,22.11,17.26,26.06,78.84
