GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Hamari,368.9524223,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2020,36.45,45.19,25.54,55.11,162.29
Village Council,Twimatai,439.0815859,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,44.02,38.46,51.99,59.77,194.24
Village Council,Tiyarimairang,344.7478265,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2020,21.05,28.63,17.61,25.49,92.78
Village Council,Ramdayalbari,956.4929263,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2020,42.95,51.16,65.91,51.89,211.91
Village Council,Jogendra Smriti,556.8319129,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2020,41.86,48,37.13,58.1,185.09
Village Council,Jorakwtal,188.021256,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2020,17.46,21.53,10.21,24.03,73.23
Village Council,Athukiri,328.079409,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2020,33.97,44.28,22.69,51.07,152.01
Village Council,Hridoy Choudhury,646.8259949,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2020,17.15,20.99,33.93,17.25,89.32
Village Council,Salka,311.2900524,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2020,20.05,30.11,20.34,26.61,97.11
Village Council,Hataikator,701.992399,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2020,53.85,61.09,72.8,81.77,269.51
Village Council,Ratiranjan,772.1418742,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2020,55.87,62.31,38.05,67.04,223.27
