GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,1.19,62.44,195.54,421.05,2024,680.22
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,113.02,166.55,125.25,170.69,2024,575.51
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,3.46,47.17,118.08,214.58,2024,383.29
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,50.37,200.48,207.31,331.64,2024,789.8
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,7.55,28.07,42.53,112.73,2024,190.88
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,15.9,136.81,276.37,477.26,2024,906.34
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,44.65,182.6,192.96,212.86,2024,633.07
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,55.12,233.15,276.07,291.19,2024,855.53
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,20.41,110.52,169.11,292.15,2024,592.19
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,22.29,89.49,109.5,129.33,2024,350.61
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,5.38,42.8,77.91,86.76,2024,212.85
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,49.56,162.98,154.83,134.91,2024,502.28
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,141.45,570.11,488.97,250.06,2024,1450.59
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,1.75,15.3,36.2,46.03,2024,99.28
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,6.36,38.04,57.77,97.14,2024,199.31
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,25.21,65.71,74.03,94.43,2024,259.38
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,34.4,147.96,172.05,219.17,2024,573.58
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,24.24,95.93,108.9,121.19,2024,350.26
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,10.06,51.27,75.1,97.94,2024,234.37
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,23.76,96.81,110.87,136.31,2024,367.75
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,81.64,193.35,121.71,137.37,2024,534.07
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,8.37,68.77,159.4,226.68,2024,463.22
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,27.99,74.12,108.41,160.86,2024,371.38
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,48.84,208.89,268.16,360.88,2024,886.77
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,14.88,105.04,198.58,424.72,2024,743.22
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2.76,22.38,61.46,99.56,2024,186.16
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,4.46,52.68,108.04,168.08,2024,333.26
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,20.41,126.17,152.04,138.68,2024,437.3
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,16.37,68.93,67.3,45.23,2024,197.83
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,33.28,202.17,217.71,137.79,2024,590.95
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,6.68,44.4,56.69,127.96,2024,235.73
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,35.98,192.32,326.22,284.27,2024,838.79
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,5.55,50.66,102.45,196.94,2024,355.6
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,16.06,110.12,185.04,263.22,2024,574.44
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,110.77,271.77,157.77,93.97,2024,634.28
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,7.81,48.45,82.29,217.8,2024,356.35
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,112.8,176.03,165.04,231.93,2024,685.8
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,22.9,96.49,95.82,53.73,2024,268.94
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,12.02,63.22,91.45,186.03,2024,352.72
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,55.15,154.24,117.37,83.56,2024,410.32
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,54.26,196.54,119.49,84.05,2024,454.34
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,10.59,50.01,88.66,106.59,2024,255.85
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,8.84,84.1,155.89,309.97,2024,558.8
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,7.19,48.89,97.25,132.83,2024,286.16
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,5.46,64.96,153.76,293.75,2024,517.93
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,16.65,49.37,54.09,58.27,2024,178.38
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,4.51,29.1,65.31,116.97,2024,215.89
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,13.49,37.75,34.08,94.49,2024,179.81
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,6.99,43.29,83.67,135.86,2024,269.81
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,7.81,33.18,60.92,118.93,2024,220.84
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,13.16,54.51,86.59,104.33,2024,258.59
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,59.67,152.58,85.55,103.74,2024,401.54
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,14.06,80.01,107.8,176.69,2024,378.56
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,76.46,203.96,115.8,164.27,2024,560.49
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,17.84,101.74,157.67,254.1,2024,531.35
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,68.39,205.29,82.21,42.23,2024,398.12
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,59.0,131.37,60.48,57.93,2024,308.78
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,48.1,99.06,119.9,47.22,2024,314.28
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,38.08,120.93,121.42,117.97,2024,398.4
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,5.67,65.46,135.6,243.97,2024,450.7
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,29.61,92.03,85.86,60.93,2024,268.43
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,5.01,42.46,57.68,80.94,2024,186.09
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,10.68,96.67,122.56,185.47,2024,415.38
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,44.21,182.23,166.8,141.55,2024,534.79
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,10.69,102.03,133.92,165.97,2024,412.61
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,13.61,94.8,126.82,146.06,2024,381.29
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,4.15,30.06,42.51,90.89,2024,167.61
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,72.33,244.48,195.79,159.94,2024,672.54
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,53.59,115.52,90.03,92.83,2024,351.97
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,17.36,93.58,90.76,113.87,2024,315.57
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,74.88,191.26,120.65,58.57,2024,445.36
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,12.66,71.5,69.26,63.02,2024,216.44
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,52.34,145.48,88.68,55.77,2024,342.27
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,45.72,185.03,109.74,76.24,2024,416.73
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,48.55,271.26,220.04,213.84,2024,753.69
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,19.84,102.57,98.61,49.88,2024,270.9
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,42.63,244.43,221.85,144.12,2024,653.03
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,26.15,128.61,106.12,135.52,2024,396.4
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,45.35,178.9,174.17,163.33,2024,561.75
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,50.43,188.59,183.75,112.84,2024,535.61
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,27.68,125.07,112.65,155.06,2024,420.46
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,17.48,97.67,159.57,361.36,2024,636.08
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,12.85,126.18,228.37,395.98,2024,763.38
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,16.36,58.49,56.94,91.32,2024,223.11
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,59.41,249.29,239.22,184.48,2024,732.4
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,20.84,103.39,104.11,232.54,2024,460.88
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,7.41,31.9,33.25,76.6,2024,149.16
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,30.74,66.59,67.13,91.17,2024,255.63
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,15.05,121.42,131.06,146.57,2024,414.1
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,42.18,140.43,111.96,108.76,2024,403.33
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,12.2,75.03,77.23,80.59,2024,245.05
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,21.91,110.19,135.18,177.74,2024,445.02
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,82.38,168.49,131.51,144.56,2024,526.94
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,113.32,190.37,120.58,221.87,2024,646.14
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,33.24,46.01,35.08,26.84,2024,141.17
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,23.48,97.86,117.69,150.16,2024,389.19
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,26.05,127.32,105.87,112.29,2024,371.53
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,86.76,199.81,140.41,189.97,2024,616.95
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,25.73,102.47,140.49,174.63,2024,443.32
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,59.89,128.22,81.06,47.71,2024,316.88
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,29.75,68.68,78.8,135.86,2024,313.09
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,33.85,129.78,124.91,257.2,2024,545.74
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,7.52,50.32,51.38,76.87,2024,186.09
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,1.49,24.16,64.66,92.67,2024,182.98
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,109.36,129.98,66.94,73.6,2024,379.88
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,34.77,191.98,195.03,436.93,2024,858.71
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,18.43,146.32,234.4,589.67,2024,988.82
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,25.2,45.89,20.2,40.89,2024,132.18
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,25.5,132.38,145.94,246.68,2024,550.5
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,248.77,336.28,186.49,156.65,2024,928.19
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,42.4,87.49,55.05,102.62,2024,287.56
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,153.64,138.62,66.58,90.16,2024,449.0
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,99.21,144.12,90.42,106.63,2024,440.38
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,62.01,226.54,288.7,869.54,2024,1446.79
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,40.18,158.47,149.66,250.74,2024,599.05
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,76.23,160.99,101.23,88.6,2024,427.05
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,28.01,73.95,56.91,134.76,2024,293.63
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,90.57,429.46,543.08,672.39,2024,1735.5
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,159.38,191.89,118.52,208.18,2024,677.97
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,120.2,236.78,186.01,188.98,2024,731.97
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,36.04,76.01,55.31,82.17,2024,249.53
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,56.15,291.08,380.56,923.15,2024,1650.94
Gram Panchayet,Newlife,404.453588489,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,12.45,41.52,52.64,121.18,2024,227.79
Village Council,Tuichakma,1369.39587677,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,90.65,210.13,188.93,248.2,2024,737.91
Village Council,Sangranma EDC,564.976198781,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,31.65,104.4,91.91,137.27,2024,365.23
Village Council,Beledi EDC,1637.86754538,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,143.41,232.0,123.13,226.79,2024,725.33
Village Council,Kamalai,446.579247994,Gomati,Amarpur,Ampi,Chechua,Lalgiri,24.57,91.29,78.31,98.96,2024,293.13
Village Council,Bankarai Para,1537.91756356,Gomati,Amarpur,Amarpur,Bampur,Gungia,37.71,125.39,143.17,493.87,2024,800.14
Village Council,Sukmohan JFMC (e Beat),1533.31558346,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,104.74,247.91,206.39,375.11,2024,934.15
Village Council,Uttar Thakurcherra,784.793738606,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Pancharatan,44.23,150.52,130.63,129.96,2024,455.34
Village Council,Ranipukur EDC,1044.58660753,Dhalai,Gandacherra,Gonda Twisa,Rani Pukur,Ranir Pukur,106.0,204.52,170.83,188.06,2024,669.41
Gram Panchayet,Puskini,1252.60892601,Gomati,Amarpur,Killa,Uttar Baramura,Bampur,167.83,308.9,161.16,267.85,2024,905.74
Village Council,Chhankhola,981.427272311,Gomati,Udaipur,Killa,Uttar Baramura,South Brajendra Nagar,94.46,175.98,161.17,229.55,2024,661.16
Village Council,Ramnagar EDC,1100.93826337,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,111.2,215.07,147.93,245.83,2024,720.03
Village Council,Omlakbari,569.041694708,Gomati,Udaipur,Killa,Nitya Bazar,Noabari,73.63,106.38,75.85,123.82,2024,379.68
Village Council,Biswaram Para EDC,159.819158467,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,1.01,12.63,23.24,42.35,2024,79.23
Village Council,Nagarai Bangsi,735.013897708,Gomati,Amarpur,Ampi,Chechua,South Sangang,33.09,129.21,116.8,233.57,2024,512.67
Village Council,Mach kumir EDC,653.566986486,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,142.0,175.41,83.23,79.74,2024,480.38
Village Council,Kalajhari,2429.89047419,Gomati,Amarpur,Amarpur,Kalajhari,Gungia,16.15,163.19,286.85,770.55,2024,1236.74
Village Council,Hatimatha,281.115423049,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Tuichakma,10.35,51.14,46.36,52.94,2024,160.79
Village Council,Joychandra Para,644.176647335,Gomati,Amarpur,Amarpur,Sarbong,West Sarbong,38.67,145.19,107.26,163.81,2024,454.93
Village Council,North Sarma,826.505940311,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Narayan Pur,40.66,166.07,157.38,124.34,2024,488.45
Village Council,Laxmipur EDC,277.791337855,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Dhalajhari,8.1,37.29,39.41,79.86,2024,164.66
Village Council,Old Dalapati,1235.61875047,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Sarma,30.9,133.97,201.81,265.75,2024,632.43
Village Council,Mohankanta,1689.98615462,Gomati,Udaipur,Killa,Uttar Baramura,South Baramura,34.34,174.03,217.26,499.63,2024,925.26
Village Council,Sinsat,380.392529214,Gomati,Udaipur,Killa,Killa,Darjeeling,7.97,47.16,74.63,104.96,2024,234.72
Village Council,Thandachara,1124.8808031,Gomati,Udaipur,Killa,Khupilong,Kachigang,63.27,214.43,233.04,213.51,2024,724.25
Village Council,Salka,1667.3399919,Gomati,Amarpur,Ampi,Dhanlekha,Sonacherra,95.98,335.64,294.74,505.27,2024,1231.63
Village Council,Marua Colony,622.74700385,Gomati,Amarpur,Ampi,Chechua,South Sangang,6.85,48.57,63.77,271.7,2024,390.89
Village Council,Naharmabadal,1058.88519173,Gomati,Udaipur,Killa,Killa,Joyingbari,47.43,146.48,160.6,342.51,2024,697.02
Village Council,Chandrakumar EDC,1495.18798018,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Laxmipur,106.32,219.51,189.45,345.88,2024,861.16
Village Council,Atharabhola JFMC,496.808017671,Gomati,Udaipur,Killa,T.C Bari,Jalema,34.56,132.17,96.03,57.14,2024,319.9
Village Council,Thumbari,1274.37531363,Gomati,Udaipur,Killa,Killa,North Baramura,24.04,128.5,157.18,414.52,2024,724.24
Village Council,Haja Twisha,1493.50833705,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Dalapati,18.19,131.85,233.4,363.31,2024,746.75
Village Council,Ganda Twisa,3575.59010867,Gomati,Amarpur,Amarpur,Bampur,East Sarbong,33.28,182.44,302.26,1206.38,2024,1724.36
Village Council,Rangajhari EDC,643.266796865,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,19.97,91.05,86.22,157.45,2024,354.69
Village Council,Kanankta Para,1994.00771791,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Uttar Gandacherra,46.79,212.65,337.15,443.53,2024,1040.12
Village Council,Longdhor,529.550897599,Gomati,Udaipur,Killa,Khupilong,Bagma,46.17,131.51,124.42,63.58,2024,365.68
Village Council,Ha Khamber,1676.57092761,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Kalyansing,21.63,180.12,278.92,348.8,2024,829.47
Village Council,Tangpaiya,4038.91704244,Gomati,Amarpur,Ampi,Ekjamchara,Ekjancherra,70.26,290.69,383.6,1338.66,2024,2083.21
Village Council,Serthum,588.342322225,Gomati,Amarpur,Ampi,Ampi,North Sangang,11.79,58.24,96.62,206.84,2024,373.49
Village Council,Jari Milre EDC,479.129054769,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,12.31,68.81,80.41,127.56,2024,289.09
Village Council,Karna kishore,843.573821707,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,2.72,60.97,122.25,195.52,2024,381.46
Village Council,Kunarampara,431.406134638,Gomati,Amarpur,Ampi,Ekjamchara,Melchi,24.11,82.24,71.63,125.12,2024,303.1
Village Council,Temtui Kami,1542.28926988,Gomati,Amarpur,Ampi,Ampi,Chechua,114.43,286.5,237.99,448.12,2024,1087.04
Village Council,Mohannya Para,830.55952729,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bhagirath,3.38,43.23,104.16,210.24,2024,361.01
Village Council,Manthar,2448.32327165,Gomati,Udaipur,Killa,Killa,North Brajendra Nagar,85.54,339.94,393.85,686.1,2024,1505.43
Village Council,Hojagiri,236.027566788,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2.09,25.14,36.87,62.57,2024,126.67
Village Council,New Boncher,741.980581738,Gomati,Amarpur,Ampi,Ampi,Baishyamani,7.18,47.84,106.0,319.3,2024,480.32
Village Council,Atharamura,878.17251714,Gomati,Amarpur,Ampi,Ekjanchara,Gamaicherra,36.47,108.19,115.29,261.78,2024,521.73
Village Council,Lailak,1955.89556295,Gomati,Udaipur,Killa,T.C Bari,North Baramura,9.76,115.1,200.92,635.62,2024,961.4
Village Council,Nelsi,572.938042447,Gomati,Amarpur,Ampi,Ampi,Ompinagar,77.27,146.55,85.52,140.79,2024,450.13
Village Council,Dalirai EDC,629.211105796,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,6.83,54.11,98.53,147.96,2024,307.43
Village Council,20 Kilo,1421.68418844,Gomati,Amarpur,Ampi,Dhanlekha,Gamaicherra,2.99,48.04,119.33,566.57,2024,736.93
Village Council,Balong Hamkrai Bodal EDC,838.229304652,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,24.99,121.24,146.87,228.44,2024,521.54
Village Council,Girachandra Para JFMC,1164.76782806,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,12.33,113.43,193.34,231.79,2024,550.89
Village Council,Nabakumar Para,706.868391588,Dhalai,Ambassa,Gonda Twisa,Bhagirath Para,Siddha Para,2.39,42.47,105.03,166.47,2024,316.36
Village Council,Salka,1142.3686874,Gomati,Amarpur,Amarpur,Sarbong,Haripur,80.92,177.3,148.75,356.7,2024,763.67
Village Council,Lungthang,1176.68077564,Gomati,Amarpur,Ampi,Dhanlekha,Toidudhepa,43.06,155.15,170.32,392.76,2024,761.29
Village Council,Ruhida & Rajaram,1001.25996196,Gomati,Amarpur,Ampi,Chankhala,East Taichalong,18.97,87.13,113.23,338.07,2024,557.4
Village Council,Agachaimarua,1831.60294938,Gomati,Udaipur,Killa,T.C Bari,North Baramura,9.66,83.97,181.9,591.36,2024,866.89
Village Council,Punlonga,518.544435583,Gomati,Amarpur,Ampi,Taidu,Taidu,34.48,110.73,83.79,175.67,2024,404.67
Village Council,Ramthwk,596.327238508,Gomati,Amarpur,Ampi,Chankhala,West Taichhlong,31.23,85.23,66.84,231.74,2024,415.04
Village Council,Athukrai,317.868260926,Dhalai,Ambassa,Ganganagar,Ganganagar,Radharambari,4.2,34.72,50.36,77.59,2024,166.87
Village Council,Yakbaksa,788.462383816,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,11.33,66.58,133.1,189.12,2024,400.13
