GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Gram Panchayet,Khunati,1442.23013254,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,2025,0.0,42.05,37.68,66.3,21.04,200.27,167.83,64.02,166.63,119.73,173.52,160.41,100.33,122.11,1441.92
Gram Panchayet,Kasta Kumar Para,1104.2153466,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,2025,0.0,33.3,55.39,82.04,45.37,93.15,207.9,84.85,115.51,136.52,89.89,68.01,45.28,47.35,1104.56
Gram Panchayet,Sakyamuni,752.264378597,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,2025,0.0,12.09,12.07,29.93,4.02,43.58,59.91,27.28,146.66,73.98,140.48,76.09,53.12,73.18,752.39
Gram Panchayet,Gaburchara,341.116399955,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,2025,0.0,2.62,3.27,12.85,1.1,55.81,5.67,6.2,32.48,22.17,56.71,52.65,58.53,31.12,341.18
Village Council,Sanghati,893.876368877,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,2025,0.0,19.58,30.27,58.05,15.5,71.61,48.56,39.53,140.31,96.65,111.56,97.94,80.66,83.67,893.89
Village Council,Khumthaima,615.063500273,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2025,0.0,29.54,49.84,42.35,61.05,31.91,137.26,67.27,36.82,87.24,29.8,17.57,12.0,12.18,614.83
Village Council,Twisawatalok,862.388207809,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2025,0.0,23.93,41.91,51.22,33.51,59.52,173.07,66.83,166.68,96.56,54.45,43.52,27.21,23.74,862.15
Village Council,Vaktiram,422.330906142,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,2025,0.0,19.53,31.41,29.62,31.28,20.02,98.22,36.98,65.81,37.67,20.57,10.02,10.18,11.17,422.48
Gram Panchayet,Swrangdi,1433.46054891,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,2025,0.0,19.45,27.1,71.18,13.23,159.95,67.11,43.61,162.92,122.6,199.08,266.13,164.6,116.53,1433.49
Village Council,Yakalam,1633.77252567,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2025,0.0,120.1,173.53,104.03,200.66,107.05,257.31,122.44,91.21,186.17,83.12,92.07,52.9,43.0,1633.59
,Raikalam,247.275454696,South Tripura,Santirbazar,Bagafa,Bagafa,,2025,0.0,16.13,27.1,18.56,29.75,12.39,51.77,20.25,17.22,26.21,9.54,6.8,6.54,5.14,247.4
Village Council,Laxmicherra,1842.4554739,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2025,0.0,109.48,174.31,137.37,268.95,67.81,486.67,176.13,96.24,214.66,48.47,24.13,23.03,15.23,1842.48
Village Council,Pragati,402.764040818,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,2025,0.0,16.27,14.79,20.65,4.47,28.89,56.9,23.57,66.92,38.93,61.04,21.7,25.71,23.05,402.89
Village Council,Rabithakur,658.744148845,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,2025,0.0,7.42,8.1,39.28,4.59,134.19,20.07,19.62,80.81,61.38,64.39,73.08,101.56,44.13,658.62
Village Council,Agragati,1325.87281894,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,2025,0.0,119.75,164.07,85.13,233.24,59.51,192.58,91.57,52.34,153.29,60.91,39.73,35.97,38.03,1326.12
Gram Panchayet,Maitry,509.009811421,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,2025,0.0,2.52,3.58,27.25,0.83,73.39,5.6,8.1,86.29,30.38,83.68,74.23,74.08,39.03,508.96
Village Council,Twisawaklou,761.369388166,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,2025,0.0,7.08,11.84,40.33,5.07,86.38,41.32,23.89,220.06,57.54,68.1,96.6,67.43,35.73,761.37
Village Council,Taj,888.612506686,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2025,0.0,15.75,20.34,49.22,9.84,66.87,89.23,45.05,179.3,88.68,126.13,63.73,81.3,53.07,888.51
Village Council,Twichoma,408.782866957,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,2025,0.0,8.91,14.17,20.32,7.03,33.29,40.3,17.53,82.17,36.88,61.49,38.02,26.23,22.48,408.82
Village Council,Paribartan,1214.43749487,South Tripura,Belonia,Bagafa,Bagafa,Debipur,2025,0.0,140.42,163.38,70.04,345.24,11.36,198.93,79.58,43.67,114.16,20.5,12.01,6.34,8.77,1214.4
Gram Panchayet,Sanghati,999.114289477,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,2025,0.0,7.43,10.87,59.93,4.6,184.57,25.33,26.35,137.82,88.96,122.87,102.25,158.13,69.97,999.08
Gram Panchayet,Banakalayan,560.090779087,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,2025,0.0,0.54,3.24,18.02,0.4,86.16,3.03,3.71,116.51,23.58,77.04,100.68,87.35,39.83,560.09
Village Council,Kokbang Motha,438.549315413,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,2025,0.0,32.19,44.82,26.95,45.31,24.0,74.21,34.49,39.69,45.38,25.44,20.61,13.89,11.71,438.69
Village Council,Valasa,776.451286667,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2025,0.0,13.35,19.44,34.08,8.51,82.45,79.74,37.01,172.23,64.8,90.99,71.7,59.76,42.19,776.25
Gram Panchayet,MBBKM,502.520168767,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2025,0.0,0.58,1.52,12.28,0.44,115.35,1.2,2.85,32.07,13.5,62.55,112.93,116.58,30.82,502.67
Village Council,Patichari,1377.00627167,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2025,0.0,9.21,13.31,64.6,3.16,138.17,36.5,29.89,424.41,94.66,188.9,144.16,142.95,87.34,1377.26
Village Council,Kamihumkrai,1231.93858827,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,2025,0.0,78.1,106.73,84.69,105.15,78.97,218.48,87.31,127.35,126.93,73.98,54.26,50.41,39.7,1232.06
Village Council,Takma,1823.70062033,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,2025,0.0,35.37,51.72,98.55,26.78,193.9,187.02,87.0,422.37,179.48,185.97,140.23,131.58,83.84,1823.81
Village Council,Yaprikta,1758.70186956,South Tripura,Belonia,Bagafa,Devipur,Debipur,2025,0.0,186.32,216.41,119.58,347.71,48.37,307.57,123.38,86.67,173.08,55.99,33.72,35.04,24.65,1758.49
Village Council,Sabujdeep,1349.79597252,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,2025,0.0,25.86,39.67,91.7,20.84,97.87,77.44,63.25,452.35,169.92,115.48,59.0,66.8,69.68,1349.86
Village Council,Sonapur,477.951873531,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,2025,0.0,1.45,4.36,30.74,2.37,64.88,11.25,10.42,110.6,37.51,44.15,40.89,96.86,22.39,477.87
,Janakalyan,488.747277659,Sepahijala,Sonamura,Melaghar,Kalakhet,,2025,0.0,1.21,2.27,24.22,0.9,43.97,4.26,5.79,155.92,29.14,52.46,36.93,85.76,45.87,488.7
,Agragami,508.719874497,Sepahijala,Sonamura,Melaghar,Kalakhet,,2025,0.0,0.78,1.79,23.95,0.79,68.18,3.59,4.99,72.09,18.14,61.9,66.16,129.43,56.8,508.59
Gram Panchayet,Harichand Humkrai,576.980486944,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,2025,0.0,4.47,7.55,41.6,3.03,40.12,16.75,14.97,183.96,66.31,65.06,31.0,57.02,45.22,577.06
Village Council,Chandulkami,1048.45460114,Sepahijala,Sonamura,Melaghar,Induria,Chandul,2025,0.0,8.26,14.29,70.22,5.98,96.2,28.61,30.62,290.47,96.59,124.03,53.37,122.04,107.94,1048.62
Gram Panchayet,Indra Kumar Para,634.393480741,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,2025,0.0,2.92,3.87,34.9,1.85,98.76,7.4,11.71,75.02,40.33,69.84,53.67,149.48,84.73,634.48
,Ramapadapara,122.991213557,Sepahijala,Sonamura,Melaghar,Sonamara,,2025,0.0,1.48,0.93,10.0,0.94,20.3,2.77,3.64,17.24,14.02,11.17,11.88,22.87,5.79,123.03
Gram Panchayet,Matinagar,1617.82966655,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,2025,0.0,3.19,7.83,75.65,6.48,302.56,12.24,25.97,268.2,71.09,188.5,166.97,414.82,74.73,1618.23
Village Council,Panchnaliya,647.303111942,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,2025,0.0,4.89,7.27,55.47,5.23,84.9,15.23,19.69,148.06,66.97,78.75,34.62,83.42,42.78,647.28
Gram Panchayet,Kamalnagar,627.091768573,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,2025,0.0,2.05,2.12,28.46,2.0,131.4,3.93,7.81,95.83,27.3,58.01,52.55,189.15,26.44,627.05
Village Council,Bijoynagar,874.579267008,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2025,0.0,7.09,9.09,61.97,6.77,189.18,20.1,24.26,175.39,78.68,79.36,49.05,129.17,44.44,874.55
Gram Panchayet,South Kalamchowra,656.865334562,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2025,0.0,2.21,2.2,23.74,3.03,154.24,5.33,9.02,51.38,25.67,73.48,67.16,197.91,41.34,656.71
Gram Panchayet,North Kalamchowra,533.959137835,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2025,0.0,1.29,1.11,15.5,2.46,138.94,2.04,6.03,29.02,14.77,50.89,51.64,190.38,29.97,534.04
Village Council,Anandanagar,446.009744782,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2025,0.0,3.11,2.4,22.16,3.11,208.64,7.64,7.97,24.96,27.8,21.95,29.3,73.47,13.6,446.11
Gram Panchayet,Ashabari,822.338754546,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,2025,0.0,9.21,3.46,27.67,4.63,268.1,5.78,10.91,24.78,41.85,66.13,77.56,216.08,66.35,822.51
Gram Panchayet,Kalshimura,502.227323255,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,2025,0.0,1.43,0.93,13.97,1.01,122.82,1.33,4.52,16.55,10.38,58.29,55.28,173.95,41.71,502.17
Village Council,Tarapadabari,244.503939572,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2025,0.0,0.37,1.34,10.1,0.44,52.52,2.81,3.14,53.2,13.03,22.91,29.95,44.04,10.89,244.74
Village Council,Goliraibari,810.030561919,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,2025,0.0,1.58,3.56,35.01,2.49,136.04,8.08,7.65,231.66,36.53,95.17,64.79,141.68,45.55,809.79
Gram Panchayet,Puttia,262.831221619,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,2025,0.0,0.94,0.41,5.87,0.16,67.28,0.57,0.72,3.61,3.83,34.7,25.17,91.88,27.63,262.77
Village Council,Bangshibari,1258.14121854,Sepahijala,Jampuijala,Charilam,Charilam,Pathaliaghat,2025,0.0,2.13,6.07,45.12,1.71,199.78,14.69,13.23,429.47,61.9,133.65,122.73,167.02,60.64,1258.14
Village Council,Nazrul,560.735426556,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2025,0.0,1.21,2.69,27.2,0.87,68.17,3.95,6.62,128.87,25.73,81.35,50.83,101.02,62.36,560.87
Village Council,Amarendranagar,604.836894405,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2025,0.0,1.72,3.82,28.65,1.5,59.39,12.35,9.57,198.74,37.71,73.79,33.37,89.64,54.46,604.71
Gram Panchayet,Manikyanagar,1294.79155294,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,2025,0.0,7.8,3.44,44.01,5.69,316.59,8.54,16.1,56.78,52.6,106.33,108.71,472.24,95.95,1294.78
Gram Panchayet,Veluarchar,940.993727651,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,2025,0.0,2.08,2.73,25.86,1.79,282.39,5.78,6.39,25.65,24.2,79.33,94.59,313.19,77.19,941.17
Village Council,Dingroi,832.489852984,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,2025,0.0,7.65,13.74,49.55,4.06,91.57,49.33,29.43,248.47,71.08,82.74,50.05,77.67,57.13,832.47
Village Council,Pitra Hatai,1001.2148316,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,2025,0.0,80.08,112.7,69.68,144.13,54.76,147.74,70.26,91.59,100.33,45.6,26.5,31.64,26.09,1001.1
Village Council,Khumpoi Bodal,1311.98433764,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,2025,0.0,6.74,16.17,77.65,5.03,182.44,32.56,40.8,239.07,117.56,171.34,161.28,166.18,95.14,1311.96
Village Council,Aitorma,297.086402879,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,2025,0.0,0.92,1.21,9.73,0.46,95.86,2.84,3.94,23.93,9.85,28.02,51.89,49.85,18.56,297.06
Village Council,Mohanpur,961.962581945,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,2025,0.0,3.7,10.74,53.87,2.49,148.36,28.95,23.89,194.1,83.19,104.42,114.49,138.79,54.79,961.78
Village Council,Vasaitipu,349.260902593,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,2025,0.0,49.4,44.3,20.48,84.73,12.83,46.04,23.48,20.12,25.77,7.79,3.97,7.25,3.24,349.4
Village Council,Salka,943.570865159,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,2025,0.0,6.64,11.17,52.36,3.01,130.3,42.79,24.45,188.35,73.63,109.28,103.24,126.71,71.66,943.59
Village Council,Pravapur,859.706927865,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,2025,0.0,2.14,6.49,38.73,1.79,163.75,14.98,14.05,244.33,48.29,62.61,100.17,133.62,28.99,859.94
Village Council,Sindai Bodal,646.684640911,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2025,0.0,3.82,7.66,36.22,3.66,126.45,24.95,21.27,128.67,62.79,54.69,67.4,85.7,23.4,646.68
Village Council,Patirai Bodal,698.680543556,Sepahijala,Jampuijala,Jampuijala,Jampuijala,East Takerjala,2025,0.0,4.14,9.62,41.7,2.66,100.17,53.18,24.37,181.49,75.08,62.48,50.79,61.39,31.68,698.75
Village Council,Singna Dol,3614.2382895,Khowai,Teliamura,Mungiakami,Haludiachara,Nonacherra,2025,0.0,690.75,494.06,194.52,1055.04,49.18,554.46,174.23,77.16,250.14,31.97,12.83,17.69,11.69,3613.72
Village Council,Sambhucharan,1056.32342408,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2025,0.0,3.91,11.07,56.38,2.46,125.42,45.61,25.13,387.36,101.28,94.01,73.8,91.26,38.69,1056.38
Village Council,Jhilingma,494.23564085,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2025,0.0,1.33,5.93,29.17,1.48,58.25,15.62,13.2,189.93,48.17,34.81,30.67,46.66,18.98,494.2
Village Council,East Belbari,453.255119188,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2025,0.0,3.91,8.96,28.98,3.81,83.72,51.05,19.62,79.21,63.6,29.73,40.89,26.3,13.56,453.34
Village Council,GangiaTwisa,808.559493131,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2025,0.0,24.19,44.21,54.23,44.18,120.68,88.44,44.53,108.17,108.0,50.17,46.23,51.5,23.83,808.36
Village Council,Zarzui,2625.12204138,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2025,0.0,306.07,322.69,147.41,566.83,113.8,328.18,173.97,178.74,218.44,93.01,52.42,64.17,59.53,2625.26
Village Council,Thansa Bodol,608.729765367,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2025,0.0,6.23,12.88,37.06,3.98,86.01,45.7,22.47,118.22,70.66,57.19,54.29,64.52,29.4,608.61
Village Council,R.C. Para,610.43528501,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2025,0.0,65.67,85.08,33.23,113.58,23.12,69.96,46.58,44.59,56.53,23.37,15.52,19.22,14.0,610.45
Village Council,Rwngsakha Bodal,1114.04071886,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2025,0.0,187.54,186.68,42.29,356.96,22.59,100.04,50.55,21.88,88.16,21.77,12.61,13.37,10.03,1114.47
Gram Panchayet,Sardukarkari,763.860433134,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2025,0.0,95.19,97.33,42.32,136.28,15.27,121.1,66.16,68.45,47.9,23.38,10.91,13.67,25.64,763.6
Village Council,Narangbari,548.992290196,West Tripura,Jirania,Champknagar,Champabari,Champabari,2025,0.0,86.93,84.42,23.42,168.74,3.66,57.98,38.67,25.46,37.41,9.82,2.19,3.45,6.79,548.94
Village Council,Bamsree Twisa,988.047048601,West Tripura,Jirania,Champknagar,Belbari,Belbari,2025,0.0,5.9,12.54,48.49,3.33,211.65,56.55,26.9,205.4,98.97,89.2,98.98,95.56,34.8,988.27
Village Council,Deven Twisa,257.750097342,West Tripura,Jirania,Champknagar,Champabari,Champabari,2025,0.0,32.42,34.44,13.47,45.68,3.86,27.18,22.39,25.03,22.37,12.3,4.92,7.69,5.87,257.62
Gram Panchayet,Hawaibari,453.070933285,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2025,0.0,58.35,61.66,29.45,66.1,6.32,64.25,42.7,42.57,35.56,17.59,6.55,8.31,13.84,453.25
Village Council,KC Para,419.685934029,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2025,0.0,10.37,17.8,22.3,13.01,66.48,39.6,18.35,42.44,38.73,40.73,49.28,35.96,24.55,419.6
Village Council,Tuidolnai Bodal,1384.31455174,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2025,0.0,74.79,108.61,83.94,93.11,149.64,138.42,98.84,137.36,151.98,109.8,94.38,86.42,57.13,1384.42
Village Council,Emmanualpara,364.658279758,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2025,0.0,39.77,57.47,17.83,70.9,12.21,48.96,26.32,23.66,31.72,12.83,5.65,7.71,9.75,364.78
Village Council,Bardwal,455.713048109,West Tripura,Jirania,Champknagar,Champabari,Champabari,2025,0.0,63.35,75.72,21.79,125.39,4.18,45.15,33.83,22.21,36.05,11.81,3.2,5.48,7.59,455.75
Gram Panchayet,Raktiacherra,171.425871573,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2025,0.0,1.39,2.48,10.98,0.86,23.98,6.6,4.02,26.09,17.62,25.4,16.64,22.67,12.54,171.27
Gram Panchayet,Hamkrai,242.300323507,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2025,0.0,4.0,5.78,10.2,3.55,52.7,11.98,5.7,17.47,14.46,30.05,27.56,33.98,24.82,242.25
Village Council,Aitorma Bodal,956.22022725,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2025,0.0,131.4,155.13,44.03,252.67,30.67,102.07,52.88,29.0,84.04,25.42,15.06,18.92,15.02,956.31
Village Council,Marthandol,2308.55502976,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2025,0.0,357.35,335.16,105.6,737.52,27.13,319.36,122.39,56.41,171.13,28.31,11.87,15.82,20.57,2308.62
Village Council,Sinai Kami,600.573796704,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2025,0.0,52.42,72.32,35.74,72.86,28.36,74.87,39.05,53.39,59.81,41.48,20.15,25.55,24.46,600.46
Village Council,Hardai,1250.35102569,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2025,0.0,117.13,137.45,68.53,157.97,72.85,122.18,87.25,99.04,110.15,96.3,65.26,58.24,58.06,1250.41
Village Council,Bongshimukha,935.169956114,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2025,0.0,149.63,132.77,32.41,332.45,8.35,75.17,45.08,23.85,69.92,14.7,6.36,5.76,38.78,935.23
Village Council,Thaipungbil,852.368968536,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2025,0.0,184.22,120.36,17.75,345.81,5.77,37.72,25.18,7.79,58.28,9.63,4.13,3.83,31.96,852.43
Village Council,Khakaham,567.071582479,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2025,0.0,108.77,79.36,15.79,223.86,4.09,46.23,23.02,12.62,33.42,6.83,1.92,3.11,8.05,567.07
Village Council,Dumti Para,752.877887977,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2025,0.0,56.72,85.85,53.85,86.86,17.54,135.24,65.91,92.7,77.21,30.95,10.52,15.58,24.04,752.97
,Madhya Krishnapur,469.877562477,Khowai,Teliamura,Teliamura,Teliamura,,2025,0.0,22.92,18.89,25.54,10.32,53.45,27.81,24.32,33.63,50.66,66.53,53.58,50.15,32.1,469.9
Village Council,Brigudas Bari,694.174500358,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2025,0.0,54.62,87.51,53.19,103.65,13.26,156.18,61.92,63.95,65.74,13.75,5.22,7.01,8.18,694.18
Village Council,Kwtal Bodal,710.292183199,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2025,0.0,97.15,93.51,28.52,253.03,8.91,73.16,37.67,20.92,64.72,12.75,4.75,5.23,9.96,710.28
Village Council,Chakmaghat,461.217566213,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2025,0.0,58.12,44.39,25.93,30.29,17.53,47.29,32.57,38.2,39.29,42.4,19.21,31.69,34.23,461.14
Village Council,Twikalai Kami,112.805799861,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2025,0.0,7.83,13.14,9.61,11.21,2.67,31.58,9.48,8.87,12.02,1.92,1.1,1.2,2.14,112.77
Village Council,Bolong Hamkrai Bodal,1163.99365071,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2025,0.0,88.92,114.75,69.39,141.29,68.08,120.27,68.09,60.82,126.1,97.23,55.31,68.61,85.09,1163.95
Village Council,Khatansa Bodal,848.257512931,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2025,0.0,195.95,106.85,20.26,383.81,2.61,49.85,28.16,13.22,40.99,3.4,0.88,0.99,1.39,848.36
Village Council,Sichandi,527.246343272,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2025,0.0,28.59,49.33,34.56,46.9,37.93,76.1,43.24,62.7,57.58,29.6,16.97,26.79,17.0,527.29
,Uttar Krishnapur,405.416344962,Khowai,Teliamura,Teliamura,Teliamura,,2025,0.0,8.8,13.5,19.1,8.43,48.92,32.44,20.29,42.36,51.53,60.35,41.08,37.73,20.79,405.32
Village Council,Manikung Kami,633.795024468,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2025,0.0,36.56,66.58,51.65,72.39,16.89,166.35,59.58,61.2,69.35,13.48,5.04,7.54,7.27,633.88
Village Council,Lokuhamkrai Bodal,548.581576403,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2025,0.0,99.72,63.4,18.12,226.76,6.06,51.61,24.34,12.64,36.14,4.15,1.22,2.24,2.23,548.63
Village Council,Jorkaham,663.740870941,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2025,0.0,72.72,97.53,38.15,119.73,19.06,81.01,62.04,58.98,61.35,20.76,7.05,9.62,15.63,663.63
Village Council,Yaprikwtal Bodal,353.571168541,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2025,0.0,85.82,48.64,9.96,133.14,3.02,25.02,14.32,7.39,18.53,3.23,1.21,2.33,1.01,353.62
Village Council,Salkaham,801.520018077,Khowai,Teliamura,Teliamura,Duski,Duski,2025,0.0,28.59,41.77,34.85,37.82,120.82,48.1,30.67,54.1,60.8,85.83,119.2,74.81,64.15,801.51
,Laxmipur,149.090566825,Khowai,Teliamura,Teliamura,Teliamura,,2025,0.0,3.16,3.68,7.72,1.37,16.15,7.82,5.77,15.15,19.22,28.45,14.17,17.45,8.97,149.08
Village Council,Burakha Kami,325.60998416,West Tripura,Jirania,Mandwi,Burakha,Borakha,2025,0.0,1.19,3.69,18.18,0.63,57.7,10.97,6.22,83.6,36.24,30.27,30.2,36.33,10.42,325.64
Village Council,Chubanai Bodal,962.668335966,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2025,0.0,80.05,85.36,63.4,53.37,32.47,133.33,88.3,124.25,133.48,95.72,29.24,17.28,26.47,962.72
Village Council,Shibnagar,658.938926737,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2025,0.0,1.46,6.0,32.36,0.98,87.88,19.04,12.03,257.89,60.95,56.95,42.66,61.16,19.49,658.85
Village Council,Salkiyokjak,512.485285471,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2025,0.0,121.18,71.05,12.62,190.55,7.19,31.18,18.46,9.61,28.8,6.99,2.7,7.02,5.14,512.49
Village Council,Khabaksa Bodal,915.537147612,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2025,0.0,77.66,107.78,46.28,146.23,49.03,119.36,54.79,65.23,81.73,56.48,27.69,46.9,36.36,915.52
Village Council,Kathiram Bari,548.728105754,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2025,0.0,1.46,5.51,24.67,0.89,73.7,13.11,9.2,178.8,46.96,65.34,43.43,64.33,21.33,548.73
Village Council,Hamari Bodal,889.023585655,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2025,0.0,94.83,93.01,45.68,221.59,40.16,100.09,44.37,33.93,91.22,44.0,24.29,30.51,25.4,889.08
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2025,0.0,86.76,87.62,27.44,256.48,5.06,89.36,35.34,26.14,54.23,10.1,3.05,5.23,5.18,691.99
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2025,0.0,81.07,108.63,40.0,133.98,19.37,89.72,68.24,61.11,66.14,23.4,12.34,12.44,14.02,730.46
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2025,0.0,15.46,21.51,17.14,22.64,43.19,24.3,17.5,31.02,32.68,36.51,34.48,22.87,26.57,345.87
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2025,0.0,126.02,82.03,14.54,208.64,9.98,28.53,18.37,9.32,37.11,9.47,4.06,11.92,7.28,567.27
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2025,0.0,150.94,108.09,60.51,286.24,66.14,153.24,51.87,43.25,114.5,47.08,34.48,27.84,25.47,1169.65
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2025,0.0,150.1,88.46,19.03,308.81,5.8,51.43,25.17,13.79,38.69,5.15,2.45,7.16,2.33,718.37
